test_id,turn_no,user_query,pass_fail,total,detected_intent,actual_route,expected_routes,tools_called,source_types,postgres_used,enterprise_rag_used,external_api_used,evidence_status,latency_ms,exception,failure_reasons,response_text
T001,1,IRP 계좌가 뭐야?,PASS,10,GENERAL_EDUCATION|GENERAL_CONCEPT,document,document,document,enterprise_rag|enterprise_document,False,True,False,{'matched': 5},11836.7,,,"IRP 계좌는 **개인형 퇴직연금제도**(Individual Retirement Pension)의 약자로, 퇴직 시 수령한 퇴직급여 또는 가입자가 납입한 부담금을 적립하고 운용하여 노후자금으로 활용할 수 있는 퇴직급여 전용 통장을 의미합니다. 쉽게 말해, 퇴직금을 관리하고 노후를 대비하기 위한 특별한 계좌라고 할 수 있습니다.

IRP 계좌의 주요 특징은 다음과 같습니다:

1. **의무 이전**: 대부분의 경우, 퇴직 시 퇴직급여는 IRP 계좌로 의무적으로 이전됩니다. 다만, 일부 예외 사유(예: 퇴직급여 300만 원 이하, 55세 이후 퇴직 등)가 있을 수 있습니다.

2. **세제 혜택**: IRP 계좌에 적립된 금액은 세제 혜택을 받을 수 있으며, 일정 조건을 만족하면 중도 인출도 가능합니다.

3. **보호 기능**: IRP 계좌에 있는 퇴직급여는 압류가 금지되어 있어, 퇴직자의 권리를 보호합니다.

4. **다양한 투자 옵션**: IRP 계좌 내의 자산은 예금, 펀드, ETF 등 다양한 금융상품에 투자할 수 있습니다.

5. **미래에셋 IRP 계좌**: 미래에셋에서는 IRP 계좌를 통해 퇴직금과 가입자 부담금을 각각 다른 계좌번호로 관리하며, 퇴직금 입금 시에는 계좌번호 뒤에 '01'을 붙여 사용합니다.

이와 같은 이유로 많은 사람들이 IRP 계좌를 통해 퇴직금을 효율적으로 관리하고 노후를 준비하고 있습니다. 출처: doc11.pdf (page 2), doc55.docx (document 1), doc20.docx (document 1), doc16.pdf (page 2), doc11.pdf (page 1)"
T002,1,IRP 상품 추천해줘,PASS,9,CLARIFY|PRODUCT_RECOMMENDATION,product,product,product,postgres,True,False,False,clarify,58.8,,,"요청을 정확히 처리하려면 추가 정보가 필요합니다. 필요한 정보: 감수할 수 있는 투자 위험 수준, 예상 투자기간.
- 감수 가능한 위험 수준(예: 원금 변동을 어느 정도 감수할 수 있는지)을 알려주세요.
- 예상 투자기간 또는 연금 수령까지 남은 기간을 알려주세요."
T002,2,예시 샘플을 줘봐,PASS,10,EXAMPLE_RESPONSE|CLARIFY_EXAMPLE|HYPOTHETICAL_EXAMPLE,conversation,conversation,conversation,,False,False,False,success,0.0,,,"이렇게 알려주시면 됩니다.
예: '원금 변동은 어느 정도 감수할 수 있고, 은퇴까지 약 15년 남았습니다.'
예: '손실 가능성을 최대한 낮추고 싶고, 5년 정도 운용할 예정입니다.'"
T003,1,IRP 상품 추천해줘,PASS,9,CLARIFY|PRODUCT_RECOMMENDATION,product,product,product,postgres,True,False,False,clarify,57.7,,,"요청을 정확히 처리하려면 추가 정보가 필요합니다. 필요한 정보: 감수할 수 있는 투자 위험 수준, 예상 투자기간.
- 감수 가능한 위험 수준(예: 원금 변동을 어느 정도 감수할 수 있는지)을 알려주세요.
- 예상 투자기간 또는 연금 수령까지 남은 기간을 알려주세요."
T003,2,"나는 위험은 중간 정도, 10년 정도 투자할 거야",PASS,10,PRODUCT_RECOMMENDATION|PRODUCT_RISK_LOOKUP|PRODUCT_RISK_FILTER,product,product,product,product|postgres|enterprise_rag|enterprise_document,True,True,False,"{'missing': 86, 'matched': 113}",505.3,,,"다음 5개를 보여드리겠습니다.
입력한 위험 선호 조건 기준으로 비교 가능한 후보입니다. 개인 투자 적합성이나 수익을 보장하는 추천은 아닙니다.
1. 미래에셋AI퀀트미국투자등급회사채증권자투자신탁(채권) / 클래스 수수료미징구-오프라인-퇴직연금(C-P2) / 위험등급 4(보통 위험) / 총보수 연 0.71% / 출처 R2_KR5153420318.pdf
2. 미래에셋스마트롱숏70증권자투자신탁1호(주식) / 클래스 수수료미징구-오프라인-퇴직연금(C-P2) / 위험등급 4(보통 위험) / 총보수 연 1.35% / 출처 R2_KR5153450268.pdf
3. 미래에셋프리미엄크레딧초단기증권투자신탁(채권) / 클래스 수수료미징구-오프라인-퇴직연금(C-P2) / 위험등급 5(낮은 위험) / 총보수 연 0.26% / 출처 R2_KR5153420339.pdf
4. 미래에셋퇴직플랜단기증권자투자신탁1호(채권) / 클래스 수수료미징구-온라인-퇴직연금(C-P2e) / 위험등급 5(낮은 위험) / 총보수 연 0.28% / 출처 R2_KR518101002M.pdf
5. 미래에셋퇴직플랜증권자투자신탁1호(채권) / 클래스 수수료미징구-온라인-퇴직연금(C-P2e) / 위험등급 5(낮은 위험) / 총보수 연 0.28% / 출처 R2_KR5153520012.pdf
근거 출처: 투자설명서 / 상품 DB 기준."
T004,1,IRP 상품 추천해줘,PASS,9,CLARIFY|PRODUCT_RECOMMENDATION,product,product,product,postgres,True,False,False,clarify,48.5,,,"요청을 정확히 처리하려면 추가 정보가 필요합니다. 필요한 정보: 감수할 수 있는 투자 위험 수준, 예상 투자기간.
- 감수 가능한 위험 수준(예: 원금 변동을 어느 정도 감수할 수 있는지)을 알려주세요.
- 예상 투자기간 또는 연금 수령까지 남은 기간을 알려주세요."
T004,2,"위험은 중간 정도, 10년",PASS,10,PRODUCT_RECOMMENDATION|PRODUCT_RISK_LOOKUP|PRODUCT_RISK_FILTER,product,product,product,product|postgres|enterprise_rag|enterprise_document,True,True,False,"{'missing': 86, 'matched': 113}",502.2,,,"다음 5개를 보여드리겠습니다.
입력한 위험 선호 조건 기준으로 비교 가능한 후보입니다. 개인 투자 적합성이나 수익을 보장하는 추천은 아닙니다.
1. 미래에셋AI퀀트미국투자등급회사채증권자투자신탁(채권) / 클래스 수수료미징구-오프라인-퇴직연금(C-P2) / 위험등급 4(보통 위험) / 총보수 연 0.71% / 출처 R2_KR5153420318.pdf
2. 미래에셋스마트롱숏70증권자투자신탁1호(주식) / 클래스 수수료미징구-오프라인-퇴직연금(C-P2) / 위험등급 4(보통 위험) / 총보수 연 1.35% / 출처 R2_KR5153450268.pdf
3. 미래에셋프리미엄크레딧초단기증권투자신탁(채권) / 클래스 수수료미징구-오프라인-퇴직연금(C-P2) / 위험등급 5(낮은 위험) / 총보수 연 0.26% / 출처 R2_KR5153420339.pdf
4. 미래에셋퇴직플랜단기증권자투자신탁1호(채권) / 클래스 수수료미징구-온라인-퇴직연금(C-P2e) / 위험등급 5(낮은 위험) / 총보수 연 0.28% / 출처 R2_KR518101002M.pdf
5. 미래에셋퇴직플랜증권자투자신탁1호(채권) / 클래스 수수료미징구-온라인-퇴직연금(C-P2e) / 위험등급 5(낮은 위험) / 총보수 연 0.28% / 출처 R2_KR5153520012.pdf
근거 출처: 투자설명서 / 상품 DB 기준."
T004,3,그중에서 보수가 가장 낮은 상품은?,PASS,10,PRODUCT_RECOMMENDATION|PRODUCT_FEE_FILTER|PRODUCT_FEE_SORT,product,product,product,product|postgres|enterprise_rag|enterprise_document,True,True,False,{'matched': 199},438.8,,,"다음 5개를 보여드리겠습니다.
상품 DB의 총보수 값으로 정렬한 결과입니다.
1. 미래에셋프리미엄크레딧초단기증권투자신탁(채권) / 클래스 수수료미징구-오프라인-퇴직연금(C-P2) / 위험등급 5(낮은 위험) / 총보수 연 0.26% / 출처 R2_KR5153420339.pdf
2. 미래에셋퇴직플랜단기증권자투자신탁1호(채권) / 클래스 수수료미징구-온라인-퇴직연금(C-P2e) / 위험등급 5(낮은 위험) / 총보수 연 0.28% / 출처 R2_KR518101002M.pdf
3. 미래에셋퇴직플랜증권자투자신탁1호(채권) / 클래스 수수료미징구-온라인-퇴직연금(C-P2e) / 위험등급 5(낮은 위험) / 총보수 연 0.28% / 출처 R2_KR5153520012.pdf
4. 미래에셋AI퀀트미국투자등급회사채증권자투자신탁(채권) / 클래스 수수료미징구-오프라인-퇴직연금(C-P2) / 위험등급 4(보통 위험) / 총보수 연 0.71% / 출처 R2_KR5153420318.pdf
5. 미래에셋스마트롱숏70증권자투자신탁1호(주식) / 클래스 수수료미징구-오프라인-퇴직연금(C-P2) / 위험등급 4(보통 위험) / 총보수 연 1.35% / 출처 R2_KR5153450268.pdf
근거 출처: 투자설명서 / 상품 DB 기준."
T005,1,IRP 상품 추천해줘,PASS,9,CLARIFY|PRODUCT_RECOMMENDATION,product,product,product,postgres,True,False,False,clarify,46.8,,,"요청을 정확히 처리하려면 추가 정보가 필요합니다. 필요한 정보: 감수할 수 있는 투자 위험 수준, 예상 투자기간.
- 감수 가능한 위험 수준(예: 원금 변동을 어느 정도 감수할 수 있는지)을 알려주세요.
- 예상 투자기간 또는 연금 수령까지 남은 기간을 알려주세요."
T005,2,"위험은 중간 정도, 10년",PASS,10,PRODUCT_RECOMMENDATION|PRODUCT_RISK_LOOKUP|PRODUCT_RISK_FILTER,product,product,product,product|postgres|enterprise_rag|enterprise_document,True,True,False,"{'missing': 86, 'matched': 113}",679.4,,,"다음 5개를 보여드리겠습니다.
입력한 위험 선호 조건 기준으로 비교 가능한 후보입니다. 개인 투자 적합성이나 수익을 보장하는 추천은 아닙니다.
1. 미래에셋AI퀀트미국투자등급회사채증권자투자신탁(채권) / 클래스 수수료미징구-오프라인-퇴직연금(C-P2) / 위험등급 4(보통 위험) / 총보수 연 0.71% / 출처 R2_KR5153420318.pdf
2. 미래에셋스마트롱숏70증권자투자신탁1호(주식) / 클래스 수수료미징구-오프라인-퇴직연금(C-P2) / 위험등급 4(보통 위험) / 총보수 연 1.35% / 출처 R2_KR5153450268.pdf
3. 미래에셋프리미엄크레딧초단기증권투자신탁(채권) / 클래스 수수료미징구-오프라인-퇴직연금(C-P2) / 위험등급 5(낮은 위험) / 총보수 연 0.26% / 출처 R2_KR5153420339.pdf
4. 미래에셋퇴직플랜단기증권자투자신탁1호(채권) / 클래스 수수료미징구-온라인-퇴직연금(C-P2e) / 위험등급 5(낮은 위험) / 총보수 연 0.28% / 출처 R2_KR518101002M.pdf
5. 미래에셋퇴직플랜증권자투자신탁1호(채권) / 클래스 수수료미징구-온라인-퇴직연금(C-P2e) / 위험등급 5(낮은 위험) / 총보수 연 0.28% / 출처 R2_KR5153520012.pdf
근거 출처: 투자설명서 / 상품 DB 기준."
