test_id,turn_no,user_query,pass_fail,total,detected_intent,actual_route,expected_routes,tools_called,source_types,postgres_used,enterprise_rag_used,external_api_used,evidence_status,latency_ms,exception,failure_reasons,response_text
T001,1,IRP 계좌가 뭐야?,PASS,10,GENERAL_EDUCATION|GENERAL_CONCEPT,document,document,document,enterprise_rag|enterprise_document,False,True,False,{'matched': 5},9672.5,,,"IRP 계좌는 **개인형 퇴직연금제도**(Individual Retirement Pension)의 약자로, 퇴직 시 수령한 퇴직급여 또는 가입자가 납입한 부담금을 적립하고 운용하여 노후자금으로 활용할 수 있는 퇴직급여 전용 통장을 의미합니다. 쉽게 말해, 퇴직금을 관리하고 노후를 대비하기 위한 특별한 계좌라고 할 수 있습니다.

주요 특징은 다음과 같습니다:

1. **퇴직급여 및 부담금 관리**: 퇴직 시 받은 금액과 추가로 납입한 금액을 적립하고 운용할 수 있습니다.
2. **의무 이전**: 대부분의 경우, 퇴직 시 퇴직급여를 IRP 계좌로 의무적으로 이전해야 합니다. 다만, 일부 예외 사유가 존재합니다.
3. **세제 혜택**: 일정 조건을 만족하면 중도 인출 시 세제 혜택을 받을 수 있습니다.
4. **압류 방지**: IRP 계좌에 있는 금액은 법적으로 압류가 불가능하여 안정적인 노후 자금 보장이 가능합니다.

IRP 계좌는 퇴직연금제도 중 하나로, 확정급여형(DB) 및 확정기여형(DC) 제도와 함께 퇴직연금제도를 구성하며, 각각의 특성에 따라 적립금 운용 주체와 방식이 다릅니다. (출처: doc11.pdf, doc20.docx, doc55.docx 등)"
T002,1,IRP 상품 추천해줘,PASS,9,CLARIFY|PRODUCT_RECOMMENDATION,product,product,product,postgres,True,False,False,clarify,31.9,,,"요청을 정확히 처리하려면 추가 정보가 필요합니다. 필요한 정보: risk_tolerance, investment_horizon.
- 감수 가능한 위험 수준(예: 원금 변동을 어느 정도 감수할 수 있는지)을 알려주세요.
- 예상 투자기간 또는 연금 수령까지 남은 기간을 알려주세요."
T002,2,예시 샘플을 줘봐,PASS,10,EXAMPLE_RESPONSE|CLARIFY_EXAMPLE|HYPOTHETICAL_EXAMPLE,conversation,conversation,conversation,,False,False,False,success,0.0,,,"이렇게 알려주시면 됩니다.
예: '원금 변동은 어느 정도 감수할 수 있고, 은퇴까지 약 15년 남았습니다.'
예: '손실 가능성을 최대한 낮추고 싶고, 5년 정도 운용할 예정입니다.'"
T003,1,IRP 상품 추천해줘,PASS,9,CLARIFY|PRODUCT_RECOMMENDATION,product,product,product,postgres,True,False,False,clarify,33.0,,,"요청을 정확히 처리하려면 추가 정보가 필요합니다. 필요한 정보: risk_tolerance, investment_horizon.
- 감수 가능한 위험 수준(예: 원금 변동을 어느 정도 감수할 수 있는지)을 알려주세요.
- 예상 투자기간 또는 연금 수령까지 남은 기간을 알려주세요."
T003,2,"나는 위험은 중간 정도, 10년 정도 투자할 거야",PASS,10,PRODUCT_RECOMMENDATION|PRODUCT_RISK_LOOKUP|PRODUCT_RISK_FILTER,product,product,product,product|postgres|enterprise_rag|enterprise_document,True,True,False,"{'missing': 90, 'matched': 131}",1437.8,,,"적용한 기본값: product_limit=5 (상품 개수가 지정되지 않았습니다.)

확인된 조건에 맞는 상품 후보입니다. 개인 투자 적합성이나 수익을 보장하는 추천은 아닙니다.
1. KCGI코리아증권투자신탁1호[주식] / 클래스 종류C-P2 / 위험등급 2 / 출처 R2_KR515302022M.pdf
2. 미래에셋AI퀀트미국투자등급회사채증권자투자신탁(채권) / 클래스 수수료미징구-오프라인-퇴직연금(C-P2) / 위험등급 4 / 총보수 0.71PERCENT_PER_YEAR / 출처 R2_KR5153420318.pdf
3. 미래에셋그린뉴딜인덱스증권자투자신탁(주식) / 클래스 수수료미징구-오프라인-퇴직연금(C-P2) / 위험등급 1 / 총보수 0.89PERCENT_PER_YEAR / 출처 R2_KR5153450772.pdf
4. 미래에셋스마트롱숏70증권자투자신탁1호(주식) / 클래스 수수료미징구-오프라인-퇴직연금(C-P2) / 위험등급 4 / 총보수 1.35PERCENT_PER_YEAR / 출처 R2_KR5153450268.pdf
5. 미래에셋연금아시아퍼시픽소비성장증권자투자신탁1호(주식) / 클래스 수수료미징구-오프라인-퇴직연금(C-P2) / 위험등급 3 / 총보수 1.57PERCENT_PER_YEAR / 출처 R2_KR5153451009.pdf
근거 출처: 상품 PostgreSQL/Standard JSON 구조화 레코드."
T004,1,IRP 상품 추천해줘,PASS,9,CLARIFY|PRODUCT_RECOMMENDATION,product,product,product,postgres,True,False,False,clarify,25.6,,,"요청을 정확히 처리하려면 추가 정보가 필요합니다. 필요한 정보: risk_tolerance, investment_horizon.
- 감수 가능한 위험 수준(예: 원금 변동을 어느 정도 감수할 수 있는지)을 알려주세요.
- 예상 투자기간 또는 연금 수령까지 남은 기간을 알려주세요."
T004,2,"위험은 중간 정도, 10년",PASS,10,PRODUCT_RECOMMENDATION|PRODUCT_RISK_LOOKUP|PRODUCT_RISK_FILTER,product,product,product,product|postgres|enterprise_rag|enterprise_document,True,True,False,"{'missing': 90, 'matched': 131}",1739.8,,,"적용한 기본값: product_limit=5 (상품 개수가 지정되지 않았습니다.)

확인된 조건에 맞는 상품 후보입니다. 개인 투자 적합성이나 수익을 보장하는 추천은 아닙니다.
1. KCGI코리아증권투자신탁1호[주식] / 클래스 종류C-P2 / 위험등급 2 / 출처 R2_KR515302022M.pdf
2. 미래에셋AI퀀트미국투자등급회사채증권자투자신탁(채권) / 클래스 수수료미징구-오프라인-퇴직연금(C-P2) / 위험등급 4 / 총보수 0.71PERCENT_PER_YEAR / 출처 R2_KR5153420318.pdf
3. 미래에셋그린뉴딜인덱스증권자투자신탁(주식) / 클래스 수수료미징구-오프라인-퇴직연금(C-P2) / 위험등급 1 / 총보수 0.89PERCENT_PER_YEAR / 출처 R2_KR5153450772.pdf
4. 미래에셋스마트롱숏70증권자투자신탁1호(주식) / 클래스 수수료미징구-오프라인-퇴직연금(C-P2) / 위험등급 4 / 총보수 1.35PERCENT_PER_YEAR / 출처 R2_KR5153450268.pdf
5. 미래에셋연금아시아퍼시픽소비성장증권자투자신탁1호(주식) / 클래스 수수료미징구-오프라인-퇴직연금(C-P2) / 위험등급 3 / 총보수 1.57PERCENT_PER_YEAR / 출처 R2_KR5153451009.pdf
근거 출처: 상품 PostgreSQL/Standard JSON 구조화 레코드."
T004,3,그중에서 보수가 가장 낮은 상품은?,PASS,10,PRODUCT_RECOMMENDATION|PRODUCT_FEE_FILTER|PRODUCT_FEE_SORT,product,product,product,product|postgres|enterprise_rag|enterprise_document,True,True,False,{'matched': 194},1697.7,,,"적용한 기본값: product_limit=5 (상품 개수가 지정되지 않았습니다.)

상품 DB의 총보수(total_fee) 값으로 정렬한 결과입니다.
1. 미래에셋AI퀀트미국투자등급회사채증권자투자신탁(채권) / 클래스 수수료미징구-오프라인-퇴직연금(C-P2) / 위험등급 4 / 총보수 0.71PERCENT_PER_YEAR / 출처 R2_KR5153420318.pdf
2. 미래에셋그린뉴딜인덱스증권자투자신탁(주식) / 클래스 수수료미징구-오프라인-퇴직연금(C-P2) / 위험등급 1 / 총보수 0.89PERCENT_PER_YEAR / 출처 R2_KR5153450772.pdf
3. 미래에셋스마트롱숏70증권자투자신탁1호(주식) / 클래스 수수료미징구-오프라인-퇴직연금(C-P2) / 위험등급 4 / 총보수 1.35PERCENT_PER_YEAR / 출처 R2_KR5153450268.pdf
4. 미래에셋연금아시아퍼시픽소비성장증권자투자신탁1호(주식) / 클래스 수수료미징구-오프라인-퇴직연금(C-P2) / 위험등급 3 / 총보수 1.57PERCENT_PER_YEAR / 출처 R2_KR5153451009.pdf
근거 출처: 상품 PostgreSQL/Standard JSON 구조화 레코드."
T005,1,IRP 상품 추천해줘,PASS,9,CLARIFY|PRODUCT_RECOMMENDATION,product,product,product,postgres,True,False,False,clarify,36.4,,,"요청을 정확히 처리하려면 추가 정보가 필요합니다. 필요한 정보: risk_tolerance, investment_horizon.
- 감수 가능한 위험 수준(예: 원금 변동을 어느 정도 감수할 수 있는지)을 알려주세요.
- 예상 투자기간 또는 연금 수령까지 남은 기간을 알려주세요."
T005,2,"위험은 중간 정도, 10년",PASS,10,PRODUCT_RECOMMENDATION|PRODUCT_RISK_LOOKUP|PRODUCT_RISK_FILTER,product,product,product,product|postgres|enterprise_rag|enterprise_document,True,True,False,"{'missing': 90, 'matched': 131}",1826.1,,,"적용한 기본값: product_limit=5 (상품 개수가 지정되지 않았습니다.)

확인된 조건에 맞는 상품 후보입니다. 개인 투자 적합성이나 수익을 보장하는 추천은 아닙니다.
1. KCGI코리아증권투자신탁1호[주식] / 클래스 종류C-P2 / 위험등급 2 / 출처 R2_KR515302022M.pdf
2. 미래에셋AI퀀트미국투자등급회사채증권자투자신탁(채권) / 클래스 수수료미징구-오프라인-퇴직연금(C-P2) / 위험등급 4 / 총보수 0.71PERCENT_PER_YEAR / 출처 R2_KR5153420318.pdf
3. 미래에셋그린뉴딜인덱스증권자투자신탁(주식) / 클래스 수수료미징구-오프라인-퇴직연금(C-P2) / 위험등급 1 / 총보수 0.89PERCENT_PER_YEAR / 출처 R2_KR5153450772.pdf
4. 미래에셋스마트롱숏70증권자투자신탁1호(주식) / 클래스 수수료미징구-오프라인-퇴직연금(C-P2) / 위험등급 4 / 총보수 1.35PERCENT_PER_YEAR / 출처 R2_KR5153450268.pdf
5. 미래에셋연금아시아퍼시픽소비성장증권자투자신탁1호(주식) / 클래스 수수료미징구-오프라인-퇴직연금(C-P2) / 위험등급 3 / 총보수 1.57PERCENT_PER_YEAR / 출처 R2_KR5153451009.pdf
근거 출처: 상품 PostgreSQL/Standard JSON 구조화 레코드."
